Date,open_date,Expiry_Date,Open_Price,Current_Price,previous_highest,current_highest,trade_id,parent_id,initial_lots,active_lots,status,RF,HF,TSL,sum_hh_ll,is_crossover
2005-01-27,2005-01-27,2005-04-28,1955.0,1955.0,1955.0,1955.0,1,,10.0,10.0,Open,4.95,0.0,1779.05,0,False
2005-01-28,2005-01-27,2005-04-28,1955.0,2008.3,1955.0,2008.3,1,,10.0,10.0,Open,4.95,5.0,1827.55,1,False
2005-01-31,2005-01-27,2005-04-28,1955.0,2057.6,2008.3,2057.6,1,,10.0,9.0,Open,4.95,10.36,1892.99,2,False
2005-01-31,2005-01-31,2005-04-28,2057.6,2057.6,2057.6,2057.6,2,1.0,2.0,2.0,Open,5.69,0.0,1872.42,0,False
2005-02-01,2005-01-27,2005-04-28,1955.0,2059.85,2057.6,2059.85,1,,10.0,8.0,Open,4.95,15.71,1895.06,3,False
2005-02-01,2005-01-31,2005-04-28,2057.6,2059.85,2057.6,2059.85,2,1.0,2.0,2.0,Open,5.69,5.76,1874.46,1,False
2005-02-01,2005-02-01,2005-04-28,2059.85,2059.85,2059.85,2059.85,3,1.0,2.0,2.0,Open,5.76,0.0,1874.46,0,False
2005-02-02,2005-01-27,2005-04-28,1955.0,2052.25,2059.85,2059.85,1,,10.0,8.0,Open,4.95,15.9,1895.06,3,False
2005-02-02,2005-01-31,2005-04-28,2057.6,2052.25,2059.85,2059.85,2,1.0,2.0,2.0,Open,5.69,11.65,1895.06,2,False
2005-02-02,2005-02-01,2005-04-28,2059.85,2052.25,2059.85,2059.85,3,1.0,2.0,2.0,Open,5.76,5.83,1874.46,1,False
2005-02-03,2005-01-27,2005-04-28,1955.0,2079.45,2059.85,2079.45,1,,10.0,7.0,Open,4.95,21.45,1933.89,4,False
2005-02-03,2005-01-31,2005-04-28,2057.6,2079.45,2059.85,2079.45,2,1.0,2.0,2.0,Open,5.69,17.68,1913.09,3,False
2005-02-03,2005-02-01,2005-04-28,2059.85,2079.45,2059.85,2079.45,3,1.0,2.0,2.0,Open,5.76,11.79,1913.09,2,False
2005-02-03,2005-02-03,2005-04-28,2079.45,2079.45,2079.45,2079.45,4,1.0,2.0,2.0,Open,5.89,0.0,1892.3,0,False
2005-02-04,2005-01-27,2005-04-28,1955.0,2077.95,2079.45,2079.45,1,,10.0,7.0,Open,4.95,21.71,1933.89,4,False
2005-02-04,2005-01-31,2005-04-28,2057.6,2077.95,2079.45,2079.45,2,1.0,2.0,2.0,Open,5.69,17.89,1913.09,3,False
2005-02-04,2005-02-01,2005-04-28,2059.85,2077.95,2079.45,2079.45,3,1.0,2.0,2.0,Open,5.76,11.94,1913.09,2,False
2005-02-04,2005-02-03,2005-04-28,2079.45,2077.95,2079.45,2079.45,4,1.0,2.0,2.0,Open,5.89,5.96,1892.3,1,False
2005-02-07,2005-01-27,2005-04-28,1955.0,2055.1,2079.45,2079.45,1,,10.0,7.0,Open,4.95,22.52,1933.89,4,False
2005-02-07,2005-01-31,2005-04-28,2057.6,2055.1,2079.45,2079.45,2,1.0,2.0,2.0,Open,5.69,18.56,1913.09,3,False
2005-02-07,2005-02-01,2005-04-28,2059.85,2055.1,2079.45,2079.45,3,1.0,2.0,2.0,Open,5.76,12.38,1913.09,2,False
2005-02-07,2005-02-03,2005-04-28,2079.45,2055.1,2079.45,2079.45,4,1.0,2.0,2.0,Open,5.89,12.37,1913.09,2,False
2005-02-08,2005-01-27,2005-04-28,1955.0,2055.15,2079.45,2079.45,1,,10.0,7.0,Open,4.95,22.81,1933.89,4,False
2005-02-08,2005-01-31,2005-04-28,2057.6,2055.15,2079.45,2079.45,2,1.0,2.0,2.0,Open,5.69,18.8,1913.09,3,False
2005-02-08,2005-02-01,2005-04-28,2059.85,2055.15,2079.45,2079.45,3,1.0,2.0,2.0,Open,5.76,12.54,1913.09,2,False
2005-02-08,2005-02-03,2005-04-28,2079.45,2055.15,2079.45,2079.45,4,1.0,2.0,2.0,Open,5.89,12.53,1913.09,2,False
2005-02-09,2005-01-27,2005-04-28,1955.0,2070.0,2079.45,2079.45,1,,10.0,7.0,Open,4.95,23.1,1933.89,4,False
2005-02-09,2005-01-31,2005-04-28,2057.6,2070.0,2079.45,2079.45,2,1.0,2.0,2.0,Open,5.69,19.04,1913.09,3,False
2005-02-09,2005-02-01,2005-04-28,2059.85,2070.0,2079.45,2079.45,3,1.0,2.0,2.0,Open,5.76,12.7,1913.09,2,False
2005-02-09,2005-02-03,2005-04-28,2079.45,2070.0,2079.45,2079.45,4,1.0,2.0,2.0,Open,5.89,12.69,1913.09,2,False
2005-02-10,2005-01-27,2005-04-28,1955.0,2063.35,2079.45,2079.45,1,,10.0,7.0,Open,4.95,23.4,1933.89,4,False
